stringwkstID;WkstNr;Kurzname;Bez;Typ;ASTMSpec;ASMEType;ASMEUNS;Quelle;Tmin;Tmax;TmaxAbgas;LZ;Dichte;alsBalg;alsAT;Preis_RTW;n_spring;Rp0
1;1.4541;X6CrNiTi18-10;-;A;A 240;321;S 32100;DIN EN 10028-7;-270;550;600;"0.988";7.9;1;"0";"0";"0.1";195
2;1.4571;X6CrNiMoTi17-12-2;-;A;A 240;316Ti;S 31635;DIN EN 10028-7;-270;550;600;1.77;8;1;"0";"0";"0.09";219
3;1.4301;X5CrNi18-10;-;A;A 240;304;S 30400;DIN EN 10028-7;-270;550;600;"0.875";7.9;1;"0";"0";"0.09";210
4;1.4306;X2CrNi19-11;-;A;A 240;304L;S 30403;DIN EN 10028-7;-196;550;600;"0.988";7.9;1;"0";"0";"0.1";195
5;1.4401;X5CrNiMo17-12-2;-;A;A 240;316;S 31600;DIN EN 10028-7;-196;550;600;"0";8;1;"0";"0";"0.09";219
6;1.4404;X2CrNiMo17-12-2;-;A;A 240;316L;S 31603;DIN EN 10028-7;-270;550;600;1.77;8;1;"0";"0";"0.09";219
7;1.4435;X2CrNiMo18-14-3;-;A;A 240;316L;S 31603;DIN EN 10028-7;-270;550;600;2.05;8;1;"0";"0";"0.09";219
8;1.4539;X1NiCrMoCu25-20-5;-;A;A 240;-;N 08904;DIN EN 10028-7;-270;550;600;3.432;8;"0";"0";"0";"0.09";219
9;"1.4550";X6CrNiNb18-10;-;A;A 240;347;S 34700;DIN EN 10028-7;-196;550;600;"0";7.9;1;"0";"0";"0.14";167
10;1.4828;X15CrNiSi20-12;-;N;A 240;309H;S 30909;DIN EN 10095;-270;900;900;1.19;7.9;1;"0";"0";"0.12";201
12;2.4816;NiCr15Fe;INCONEL 600H;N;B 168;-;N 06600;DIN EN 10095;-270;900;900;"0";8.4;1;"0";"0";"0.12";152
13;2.4856;NiCr22Mo9Nb;INCONEL 625H;N;B 443;-;N 06625;DIN EN 10095;-270;900;900;"0";8.4;1;"0";"0";"0.09";383
14;2.4858;NiCr21Mo;INCOLOY 825;N;B 424;-;N 08825;DIN 17750;-270;450;540;"0";8.1;1;"0";"0";"0.09";213
15;2.4819;NiMo16Cr15W;HASTELLOY C-276;N;B 575;-;N 10276;DIN 17750;-270;450;400;"0";8.9;1;"0";"0";"0.07";288
16;"2.4610";NiMo16Cr16Ti;HASTELLOY C-4;N;B 575;-;N 06445;DIN 17750;-270;400;400;"0";8.6;1;"0";"0";"0.09";283
17;"2.4360";NiCu 30 Fe;MONEL;N;B 127;-;N 04400;DIN 17750;-196;425;425;"0";8.8;1;"0";"0";"0.12";147
18;1.0038;RSt37-2;S235JRG2;F;A 570;-;K 03000;DIN EN 10025;-10;300;550;"0";7.85;"0";1;"0.94";"0";"0"
19;"1.0570";St52-3;S355J2G3;F;-;-;-;DIN EN 10025;-10;300;550;"0";7.85;"0";"0";1;"0";"0"
20;1.0425;HII;P265GH;F;A 414;-;K 02505;DIN EN 10028-2;-10;400;550;"0";7.85;"0";1;1.09;"0";"0"
21;1.5415;15Mo3;16Mo3;F;A 204;-;K 11820;DIN EN 10028-2;-10;500;550;"0";7.85;"0";1;1.46;"0";"0"
22;1.7335;13CrMo44;13CrMo4-5;F;A 387;-;K 11757;DIN EN 10028-2;-10;550;550;"0";7.85;"0";"0";1.6;"0";"0"
23;1.0566;TStE 355;P355NL1;F;A 516;-;K 02700;DIN EN 10028-3;-60;300;300;"0";7.85;"0";"0";"0";"0";"0"
24;1.1181;Ck35;C35E;F;A 108;-;-;DIN EN 10269;-10;400;400;"0";7.85;"0";"0";"0";"0";"0"
25;1.7218;-;25CrMo4;F;A 322;-;-;DIN EN 10269;-10;530;530;"0";7.85;"0";"0";"0";"0";"0"
26;1.7258;-;24CrMo5;F;-;-;-;DIN 17240;-10;530;530;"0";7.85;"0";"0";"0";"0";"0"
27;1.0305;St 35.8;P235G1TH;F;A 106;-;K 02501;DIN 17175;-10;400;550;"0";7.85;"0";1;"0";"0";"0"
28;1.0345;H I;P235GH;F;A 618;-;-;DIN EN 10216-2;-10;400;550;"0";7.85;"0";"0";"0";"0";"0"
29;1.0254;"St37.0";P235TR1;F;A 106;-;K 02501;DIN EN 10217-1;-10;300;550;"0";7.85;"0";1;"0";"0";"0"
30;3.7025;Titan;Titan;N;B 265;-;R 50400;-;-10;250;250;"0";4.5;1;"0";"0";"0";"0"
31;1.0037;St 37-2;S235JR;F;A 568;-;-;DIN EN 10025;-10;300;550;"0";7.85;"0";1;"0";"0";"0"
62;17Г1С;19821-2014;"1.0570";F;-;-;-;-;-40;475;;;7.85;;;;;490
54;"Ст.20";Сталь 20;-;F;-;-;-;ГОСТ 1050-88;-30;350;350;"0";7.85;"0";1;"0";"0";"0"
88;17Г1С-13;19821-2014;"1.0570";F;-;-;-;-;-50;475;;;7.85;;;;;490
90;17Г1С-15;19281-2014;"1.0570";F;-;-;-;-;-70;475;;;7.85;;;;;490
57;Ст.35;Сталь 35;-;F;-;-;-;ГОСТ 1050-88;-30;350;350;"0";7.85;"0";1;"0";"0";"0"
91;Ст.20К;Сталь 20 качественная;-;F;-;-;-;ГОСТ 1050-88;-30;350;350;"0";7.85;"0";1;"0";"0";"0"
93;AISI 316L;X2CrNiMo18-14-3;1.4404;A;A 240;316L;S 31603;-;-270;550;600;1.77;8;1;"0";"0";"0.09";219
60;12Х18Н10Т;12Х18Н10Т;-;A;-;-;-;ГОСТ 5632-72;-253;600;700;"0.988";7.9;"0";1;"0";"0.1";195
59;"08Х18Н10Т";"08Х18Н10Т";-;A;-;-;-;ГОСТ 5632-72;-253;600;600;"0.988";7.9;"0";1;"0";"0.1";195
58;40Х;Сталь 40Х;-;F;-;-;-;ГОСТ 4543-71;-30;500;500;"0";7.85;"0";1;"0";"0";"0"
63;14Х17Н2;ГОСТ 7350-77;X20CrNi72;F;-;-;-;-;-40;400;;;7.75;;;;;
56;15Х5М;-;-;F;-;-;-;-;-30;420;420;;7.85;;1;;;
32;1.0565;WStE 355;P355NH;F;-;-;-;DIN EN 10028-3;-20;400;400;;7.85;;;;;
52;"09Г2С";-;-;F;-;-;-;ГОСТ 19281-2014;-30;400;400;"0";7.85;"0";"0";"0";"0";"0"
87;17Г1С-12;19821-2014;"1.0570";F;-;-;-;-;-40;475;;;7.85;;;;;490
89;17Г1С-14;19821-2014;"1.0570";F;-;-;-;-;-60;475;;;7.85;;;;;490
92;AISI 309L;-;-;A;-;-;-;-;-276;500;500;;7.8;;;;;
94;10Г2;-;-;F;-;-;-;ГОСТ 19281-2014;-30;400;400;"0";7.85;"0";"0";"0";"0";"0"
64;20ХН3А;ГОСТ 4543-71;20NC11;F;-;-;-;-;-50;450;;;7.85;;;;;
11;1.4876;X10NiCrAlTi32-21;INCOLOY 800H;A;B 409;-;N 08810;DIN EN 10095;-10;900;900;2.662;8;1;"0";"0";"0.1";187
36;"09Г2С-15";-;-;F;-;-;-;ГОСТ 19281-2014;-70;400;;"0";7.85;"0";"0";"0";"0";"0"
143;30ХМ;-;-;F;-;-;-;-;-40;450;;;7.85;;;;;
55;Ст.3сп;Сталь 3;-;F;-;-;-;ГОСТ 380-2005;-30;300;300;"0";7.85;"0";1;"0";"0";"0"
69;"08сп";-;-;F;-;-;-;-;-30;300;300;;7.85;;;;;
78;ПК;-;-;-;-;-;-;-;;;;;;;;;;
79;ПМБ;-;-;-;-;-;-;-;;;;;;;;;;
80;ПМБ-1;-;-;-;-;-;-;-;;;;;;;;;;
81;ПОН;-;-;-;-;-;-;-;;;;;;;;;;
82;ПОН-А;-;-;-;-;-;-;-;;;;;;;;;;
83;ПОН-Б;-;-;-;-;-;-;-;;;;;;;;;;
84;ПОН-В;-;-;-;-;-;-;-;;;;;;;;;;
72;65Г;-;-;F;-;-;-;-;;;;;7.85;;;;;
73;А1;-;-;F;-;-;-;-;;;;;7.85;;;;;
74;А2;-;-;F;-;-;-;-;;;;;7.85;;;;;
75;А3;-;-;F;-;-;-;-;;;;;7.85;;;;;
76;А4;-;-;F;-;-;-;-;;;;;7.85;;;;;
77;ПА;-;-;-;-;-;-;-;;;;;;;;;;
65;AISI 321;-;-;A;-;-;-;-;-270;550;600;"0.988";7.85;"0";"0";"0";"0.1";195
66;AISI 316Ti;-;-;A;-;-;-;-;-270;550;600;;7.85;1;"0";"0";"0";"0"
33;"09Г2С-12";-;-;F;-;-;-;ГОСТ 19281-2014;-40;400;;"0";7.85;"0";"0";"0";"0";"0"
34;"09Г2С-13";-;-;F;-;-;-;ГОСТ 19281-2014;-50;400;;"0";7.85;"0";"0";"0";"0";"0"
35;"09Г2С-14";-;-;F;-;-;-;ГОСТ 19281-2014;-60;400;;"0";7.85;"0";"0";"0";"0";"0"
86;13ХФА;13ХФА;"";F;-;-;-;13ХФА;-30;450;450;"0";7.68;"0";"0";"0";"0";353
95;ТРГ;-;-;-;;;;;;;;;;;;;;
96;паронит ТП-1;-;-;-;;;;;;;;;;;;;;
97;паронит ТП-1р;-;-;-;;;;;;;;;;;;;;
98;паронит ПК;-;-;-;;;;;;;;;;;;;;
99;Графлекс;-;-;-;;;;;;;;;;;;;;
100;ПТФЭ;-;-;-;;;;;;;;;;;;;;
104;AISI 304L;X3CrNi18-11;1.4306;A;-;-;S 30403;-;-196;550;600;"0.988";7.9;1;"0";"0";"0.1";195
111;картон;-;-;-;;;;;;;;;;;;;;
112;30ХГСА;Сталь 30ХГСА;-;F;-;-;-;ГОСТ 4543-71;-30;450;450;"0";7.85;"0";1;"0";"0";"0"
113;1.4845;X8CrNi25-21;-;A;A 167;310S;-;DIN EN 10095;-70;700;700;2.662;7.9;1;"0";"0";"0.1";210
114;20Х23Н18;ГОСТ 5632;-;A;A 167;310S;-;DIN EN 10095;-70;700;700;2.662;7.9;1;"0";"0";"0.1";210
115;AISI 310S;X8CrNi25-21;_;A;A 167;310S;-;DIN EN 10095;-70;700;700;2.662;7.9;1;"0";"0";"0.1";210
116;Hastelloy B3;-;-;A;B622;UNS N10675;-;-;-30;700;700;2.662;9.22;1;"0";"0";"0.1";760
85;Ст.3;-;-;F;-;-;-;-;-30;300;300;;7.85;;1;;;
117;МБС;-;-;-;-;-;-;-;;;;;;;;;;
118;"08X17H15M3T";"08X17H15M3T";"";A;-;-;-;ГОСТ 5632-72;-253;600;700;"0";7.9;"0";1;"0";"0";"0"
119;Hastelloy С4;-;-;A;B622;UNS N06455;-;-;-253;1040;1040;2.461;8.6;1;"0";"0";"0.1";690
120;15ХМ;-;-;F;-;-;-;-;-30;420;420;"0";7.85;;1;;;
122;10ХСНД;-;-;F;-;-;-;ГОСТ 19281-2014;-30;400;400;"0.988";7.85;"0";"0";"0";"0";"0"
123;AISI 304;X3CrNi18-11;1.4306;A;-;-;S 30403;-;-196;550;600;"0.988";7.9;1;"0";"0";"0.1";195
124;AISI 904L;X1NiCrMoCu25-20-5;-;A;А 240;-;Т 08904;-;-270;550;600;3.432;8;"0";"0";"0";"0.09";219
125;"08ХН28МДТ";X1NiCrMoCu25-20-5;-;A;ГОСТ;-;N 08904;-;-270;550;600;3.432;8;"0";"0";"0";"0.09";219
126;P295GH;1.0481;-;F;A 414;-;K12320;EN 10028-2;-30;400;400;"0";7.85;"0";"0";"0";"0";234
67;"08Х17Н13М2Т";"08Х17Н13М2Т";-;A;-;-;-;-;;;;;7.9;;;;;195
61;10Х17Н13М2Т;10Х17Н13М2Т;-;A;-;-;-;ГОСТ 5632-72;-253;600;700;"0";7.9;"0";1;"0";"0";195
127;1.4462;X2CrNiMoN22-5-3;-;A;-;F51;"";EN 10028-7 ;-270;550;600;1.77;8;1;"0";"0";"0.09";445
131;AISI 316;-;-;A;-;-;-;-;-270;550;600;;7.85;1;"0";"0";"0";"0"
132;В409 ALLOY N08800;X10NiCrAlTi32-21;INCOLOY 800H;N;B 409;-;N 08810;DIN EN 10095;-10;900;900;2.662;8;1;"0";"0";"0.1";187
134;ASTM 333 GR6;Сталь 20ЮЧ;-;F;-;-;-;-;-30;350;350;"0";7.85;"0";1;"0";"0";"0"
135;ASTM 335 GR Р11;15ХМ;-;F;-;-;-;-;-30;420;420;"0";7.85;;1;;;
133;A350 GR LF2 CL.1;15ХМ;-;F;-;-;-;-;-30;400;400;"0";7.85;"0";"0";"0";"0";"0"
136;Ст.45;Сталь 45;-;F;-;-;-;ГОСТ 1050-88;-30;350;350;"0";7.85;"0";1;"0";"0";"0"
137;-;-;-;-;-;-;-;-;-30;100;150;"0";"0";"0";"0";"0";"0";"0"
138;P235GH;St 35.8;1.0305;F;A 106;-;K 02501;DIN 17175;-10;400;550;"0";7.85;"0";1;"0";"0";"0"
139;1.4541/316Ti;X6CrNiTi18-10;-;A;A 240;321;S 32100;DIN EN 10028-7;-270;550;600;"0.988";7.9;1;"0";"0";"0.1";195
140;AISI 309;-;-;A;-;-;-;-;-276;500;500;;7.8;;;;;
70;25Х1МФ;-;-;F;-;-;-;-;-40;510;;;7.85;;;;;
101;"08кп";-;-;-;"";"";"";"";;;;;;;;;;
121;12Х1МФ;12Х1МФ;-;A;-;-;-;5520–79;-253;600;700;"0.988";7.9;"0";1;"0";"0.1";195
103;20Х13;-;-;A;"";"";"";"";;;;;;;;;;
105;EPDM;-;-;-;"";"";"";"";;;;;;;;;;
106;Hypalon;-;-;-;"";"";"";"";;;;;;;;;;
107;CSM;-;-;-;"";"";"";"";;;;;;;;;;
108;NBR;-;-;-;"";"";"";"";;;;;;;;;;
109;CR;-;-;-;"";"";"";"";;;;;;;;;;
110;Silicon;-;-;-;"";"";"";"";;;;;;;;;;
128;Ф4;"";"";-;"";"";"";"";;;;;;;;;;
129;GS900;"";"";-;"";"";"";"";;;;;;;;;;
130;FPM;"";"";-;"";"";"";"";;;;;;;;;;
71;30ХМА;-;-;F;-;-;-;-;-40;500;;;7.85;;;;;
141;AISI 316Ti/316L;X6CrNiTi18-10;-;A;A 240;321;S 32100;DIN EN 10028-7;-270;550;600;"0.988";7.9;1;"0";"0";"0.1";195
142;S355J0;-;-;F;-;-;-;-;-30;400;400;"0";7.85;"0";"0";"0";"0";"0"
144;35ХМ;-;-;F;-;-;-;-;-40;450;;;7.85;;;;;
145;Ст.20ЮЧ;Сталь 20ЮЧ;-;F;-;-;-;ТУ 14-I-4853-90;-30;350;350;"0";7.85;"0";1;"0";"0";"0"
146;В407 ALLOY N08800;X10NiCrAlTi32-21;INCOLOY 800H;N;B 407;"";N 08810;DIN EN 10095;-10;900;900;2.662;8;1;"0";"0";"0.1";187
